country,state,county,name,lat,lng
AF,Khost Province,Bak,Khulbisāt,33.4948,70.00605
AF,Kandahar Province,Arghistan,Khūgyāṉī,31.56267,66.5814
AF,Khost Province,Khost District,Khōst,33.33951,69.92041
AF,Balkh Province,Kholm,Khulm,36.69736,67.69826
AF,Bamyan,Sayghan,Khudāydād Khēl,35.17835,67.68758
AF,Baghlan Province,Khinjan,Khinjān,35.58908,68.90093
AF,Panjshir Province,,Khinj,35.42898,69.73482
AF,Nimruz Province,Khash Rod,Khāsh,31.52919,62.79055
AF,Helmand,Khanashin,Khān Neshīn,30.5488,63.7888
AF,Takhar Province,Chal,Khānaqāh,36.62587,69.53695
AF,Faryab,Khani Chahar Bagh District,Chahār Bāgh,37.00108,65.22392
AF,Badakhshan Province,,Khandūd,36.95127,72.318
AF,Jowzjan Province,Khaniqa,Khānaqāh,36.86279,66.16656
AF,Kunduz Province,Khan Abad,Khanabad,36.68304,69.11279
AF,Jowzjan Province,Kham Ab,Khamyāb,37.5275,65.75833
AF,Zabul Province,Kakar,Khākirān,32.8385,67.07377
AF,Nangarhar Province,Khogyani,Kaz̲h̲ah,34.24088,70.18274
AF,Kandahar Province,Maywand,Kishk-e Nakhūd,31.62519,65.05511
AF,Herat Province,Karukh,Karukh,34.48108,62.5863
AF,Kunar Province,Chapa Dara,Kanḏay,34.9536,70.77897
AF,Kandahar Province,Kandahar,Kandahār,31.61332,65.71013
AF,Maidan Wardak,Jaghatu,Kalān Deh,33.83676,68.40233
AF,Kabul Province,Kalakan,Kalakān,34.78371,69.15001
AF,Takhar Province,Kalafgan,Kalafgān,36.77226,69.94489
AF,Daykundi,,Kajrān,33.20357,65.47311
AF,Nangarhar Province,Achin,Kā’ī,34.12819,70.71828
AF,Kabul Province,Kabul,Kabul,34.52813,69.17233
AF,Badakhshan Province,Jurm,Jurm,36.86477,70.83421
AF,Badghis,Jawand,Jawand,35.06361,64.14917
AF,Paktika Province,Dila,Jānī Khēl,32.76315,68.39722
AF,Maidan Wardak,Maidan Shar,Jalrēz,34.4708,68.65438
AF,Nangarhar Province,,Jalālābād,34.42647,70.45153
AF,Parwan Province,Jabal Saraj,Jabal os Saraj,35.11833,69.23778
AF,Zabul Province,Shinkay,Ḩukūmat-e Shīnkaī,31.98303,67.33558
AF,Herat Province,,Herāt,34.34817,62.19967
AF,Kapisa Province,Kohband,Ḩājī Khēl,35.10922,69.43341
AF,Badakhshan Province,,Ḩāfiz̧ Moghul,37.05643,70.40061
AF,Nangarhar Province,Chaparhar,Ḩāfiz̧ān,34.28665,70.37247
AF,Herat Province,Guzara,Guz̄arah,34.21223,62.21235
AF,Nangarhar Province,Goshta,Gōshtah,34.35822,70.76264
AF,Paktika Province,Gomal,Gōmal Kêlay,32.50989,68.85598
AF,Ghazni Province,Gelan,‘Alāqahdārī Gēlān,32.72692,67.63696
AF,Herat Province,Ghurian,Ghōriyān,34.3448,61.49321
AF,Badghis,Ghormach,Ghormach,35.73062,63.78264
AF,Badakhshan Province,Yamgan,Ghurayd Gharamē,36.5222,70.79063
AF,Ghazni Province,,Ghazni,33.55391,68.42096
AF,Helmand,Nahri Saraj,Gereshk,31.82089,64.57005
AF,Paktia Province,Gardez District,Gardez,33.59744,69.22592
AF,Badakhshan Province,Fayzabad,Fayzabad,37.11664,70.58002
AF,Jowzjan Province,Fayzabad,Faīẕābād,36.82091,66.45921
AF,Faryab,Shirin Tagab,Fayẕābād,36.29111,64.86222
AF,Herat Province,Farsi,Qal‘ah-ye Fārsī,33.78529,63.24735
AF,Takhar Province,Farkhar,Farkhār,36.57288,69.85783
AF,Farah Province,Farah,Farah,32.37451,62.11638
AF,Kabul Province,Istalif,Istālif,34.83268,69.07756
AF,Herat Province,Kohsan,Eslam Qaleh,34.66667,61.06667
